"en","zh"
hoard,贮藏
parallel,平行的
litter,废弃物
underlying,潜在的
symbol,符号
futile,无效的
diet,饮食
significant,显著的
positive,肯定的
lumber,杂物
roam,漫游
fervor,热情
affection,钟爱
upheaval,剧变
simplify,简化
dozen,打（12个）
realtor,地产经纪人
bacteria,细菌
aerobics,有氧运动
filament,灯丝
gossip,闲话
hitch,拴住
pragmatic,务实的
grump,发脾气
indigent,贫困的
knack,诀窍
lighthearted,无忧无虑的
necessitate,使成为必要
pedestrian,步行者
ramble,漫谈
setback,挫折
hull,壳，船体
taut,绷紧的
sleigh,（马拉）雪橇
excavate,挖掘
transport,运输
attention,注意
nutrition,营养
daylight,日光
gilding,镀金
intoxication,醉酒
rotate,旋转
spike,长钉
locality,地点
undergo,经历
colony,殖民地
mottled,有杂色的
suite,套
military,军事的
enclose,装入（信封）
stature,身材；名望
livelihood,生计
sole,单独的
mountainous,多山的
sample,样本
flux,通量
assume,假定
complain,抱怨
veil,面纱
infest,大批滋生
tolerant,宽容的
forecast,预报
alter,改变
mobile,可移动的
linear,线性的
confidence,信心
stash,藏匿
inflate,使膨胀
amid,在……中
paddle,桨
cornerstone,奠基石
fund,基金
venture,冒险，投机
unequal,不相等的
chorus,副歌
nonsense,胡说
purple,紫色
ration,配给
mat,垫子
profound,巨大的
attire,穿着
ornithology,鸟类学
palatable,合意的
